iter	Passed	Remaining
0	3	357
1	6	319
2	9	295
3	11	266
4	13	259
5	15	248
6	21	283
7	24	279
8	26	272
9	29	265
10	32	263
11	35	258
12	37	253
13	40	246
14	42	242
15	45	237
16	49	241
17	53	242
18	56	238
19	58	234
20	62	233
21	65	231
22	67	226
23	70	222
24	72	218
25	74	213
26	80	217
27	82	212
28	84	206
29	86	202
30	89	198
31	92	196
32	94	192
33	97	189
34	99	185
35	102	182
36	105	179
37	109	178
38	112	175
39	114	172
40	117	168
41	118	163
42	120	160
43	123	156
44	125	153
45	128	150
46	131	147
47	133	144
48	138	144
49	140	140
50	143	137
51	145	134
52	148	131
53	151	129
54	154	126
55	157	123
56	159	120
57	162	117
58	166	115
59	169	113
60	171	109
61	173	106
62	176	103
63	179	101
64	182	98
65	184	95
66	187	92
67	189	89
68	191	86
69	195	83
70	198	81
71	200	78
72	202	74
73	205	72
74	207	69
75	209	66
76	212	63
77	214	60
78	217	57
79	219	54
80	221	52
81	224	49
82	225	46
83	227	43
84	229	40
85	231	37
86	232	34
87	234	31
88	235	29
89	236	26
90	239	23
91	241	21
92	244	18
93	245	15
94	250	13
95	252	10
96	255	7
97	257	5
98	260	2
99	262	0
