iter	Passed	Remaining
0	130	130801
1	131	65855
2	132	44179
3	133	33302
4	134	26778
5	135	22423
6	136	19325
7	137	16988
8	137	15165
9	138	13701
10	139	12505
11	139	11510
12	140	10668
13	141	9944
14	141	9317
15	142	8768
16	144	8360
17	145	7937
18	146	7562
19	147	7224
20	148	6922
21	149	6645
22	150	6390
23	151	6156
24	152	5946
25	153	5745
26	154	5564
27	155	5390
28	156	5227
29	156	5073
30	159	4988
31	160	4858
32	161	4734
33	162	4617
34	163	4506
35	164	4400
36	165	4305
37	166	4214
38	167	4124
39	168	4037
40	168	3951
41	169	3869
42	170	3789
43	170	3714
44	171	3642
45	172	3581
46	174	3533
47	175	3473
48	175	3415
49	176	3359
50	177	3307
51	178	3256
52	179	3206
53	180	3157
54	181	3110
55	181	3067
56	182	3023
57	183	2982
58	184	2941
59	185	2901
60	185	2862
61	186	2823
62	188	2796
63	189	2774
64	190	2743
65	191	2711
66	192	2679
67	193	2648
68	194	2619
69	195	2591
70	195	2562
71	196	2534
72	197	2509
73	198	2483
74	199	2462
75	200	2437
76	201	2413
77	203	2407
78	204	2385
79	205	2365
80	206	2343
81	207	2321
82	207	2295
83	208	2274
84	209	2253
85	210	2233
86	211	2214
87	211	2195
88	212	2176
89	213	2159
90	214	2140
91	215	2122
92	218	2130
93	219	2114
94	220	2097
95	220	2080
96	221	2064
97	222	2048
98	223	2032
99	224	2017
100	225	2002
101	227	1998
102	228	1986
103	228	1972
104	229	1958
105	230	1944
106	233	1949
107	234	1937
108	235	1924
109	236	1911
110	237	1899
111	237	1885
112	238	1872
113	239	1859
114	239	1846
115	240	1834
116	241	1820
117	241	1808
118	242	1798
119	243	1787
120	244	1776
121	246	1771
122	247	1763
123	248	1753
124	248	1742
125	249	1731
126	250	1721
127	251	1711
128	252	1702
129	252	1692
130	253	1682
131	254	1672
132	255	1662
133	255	1653
134	256	1644
135	257	1635
136	258	1627
137	259	1618
138	259	1609
139	261	1607
140	262	1600
141	263	1590
142	263	1582
143	264	1574
144	265	1566
145	266	1560
146	267	1552
147	268	1544
148	268	1536
149	269	1529
150	270	1522
151	271	1517
152	272	1511
153	273	1504
154	274	1496
155	276	1496
156	277	1491
157	278	1484
158	279	1478
159	280	1472
160	281	1465
161	283	1464
162	284	1458
163	285	1453
164	286	1448
165	287	1443
166	288	1437
167	290	1438
168	291	1431
169	291	1425
170	292	1419
171	293	1412
172	294	1406
173	294	1400
174	295	1393
175	296	1387
176	297	1381
177	297	1375
178	298	1369
179	299	1363
180	300	1358
181	300	1352
182	301	1346
183	302	1340
184	303	1335
185	304	1333
186	305	1327
187	306	1322
188	306	1317
189	307	1311
190	308	1306
191	309	1302
192	310	1296
193	310	1291
194	311	1285
195	312	1280
196	312	1275
197	313	1270
198	314	1265
199	315	1260
200	315	1255
201	316	1250
202	317	1245
203	317	1240
204	319	1238
205	320	1233
206	320	1229
207	321	1224
208	322	1219
209	322	1215
210	323	1210
211	324	1205
212	325	1200
213	325	1196
214	326	1191
215	327	1187
216	327	1182
217	328	1178
218	329	1173
219	329	1169
220	330	1164
